,Compound,Date,Negative,Neutral,Positive,Tweets Ago,Username
0,0.5574,Tue Oct 02 16:06:02 +0000 2018,0.816,0.0,0.184,1,@BBC
1,-0.2732,Tue Oct 02 14:06:04 +0000 2018,0.554,0.242,0.204,2,@BBC
2,0.5994,Tue Oct 02 13:05:03 +0000 2018,0.795,0.0,0.205,3,@BBC
3,0.0,Tue Oct 02 12:05:04 +0000 2018,1.0,0.0,0.0,4,@BBC
4,0.5719,Tue Oct 02 10:47:27 +0000 2018,0.829,0.0,0.171,5,@BBC
5,0.0,Tue Oct 02 10:27:17 +0000 2018,1.0,0.0,0.0,6,@BBC
6,0.6696,Tue Oct 02 10:16:58 +0000 2018,0.728,0.0,0.272,7,@BBC
7,-0.6705,Tue Oct 02 09:22:00 +0000 2018,0.769,0.231,0.0,8,@BBC
8,0.0,Tue Oct 02 09:10:44 +0000 2018,1.0,0.0,0.0,9,@BBC
9,-0.7964,Tue Oct 02 08:00:09 +0000 2018,0.679,0.321,0.0,10,@BBC
10,0.0,Tue Oct 02 07:05:06 +0000 2018,1.0,0.0,0.0,11,@BBC
11,-0.6486,Tue Oct 02 06:09:05 +0000 2018,0.798,0.202,0.0,12,@BBC
12,-0.128,Mon Oct 01 19:00:01 +0000 2018,0.919,0.081,0.0,13,@BBC
13,0.0,Mon Oct 01 17:16:04 +0000 2018,1.0,0.0,0.0,14,@BBC
14,0.7506,Mon Oct 01 16:05:44 +0000 2018,0.738,0.0,0.262,15,@BBC
15,0.0,Mon Oct 01 15:48:02 +0000 2018,1.0,0.0,0.0,16,@BBC
16,0.0,Mon Oct 01 15:00:02 +0000 2018,1.0,0.0,0.0,17,@BBC
17,0.0,Mon Oct 01 14:01:07 +0000 2018,1.0,0.0,0.0,18,@BBC
18,0.0,Mon Oct 01 13:04:26 +0000 2018,1.0,0.0,0.0,19,@BBC
19,0.7456,Mon Oct 01 13:03:06 +0000 2018,0.689,0.0,0.311,20,@BBC
20,0.128,Mon Oct 01 12:33:03 +0000 2018,0.642,0.166,0.193,21,@BBC
21,-0.5574,Mon Oct 01 12:08:21 +0000 2018,0.795,0.205,0.0,22,@BBC
22,0.7003,Mon Oct 01 11:03:02 +0000 2018,0.655,0.0,0.345,23,@BBC
23,0.3818,Mon Oct 01 10:03:06 +0000 2018,0.591,0.134,0.274,24,@BBC
24,-0.7351,Mon Oct 01 09:46:54 +0000 2018,0.763,0.237,0.0,25,@BBC
25,0.0,Mon Oct 01 09:04:02 +0000 2018,1.0,0.0,0.0,26,@BBC
26,0.7845,Mon Oct 01 08:02:02 +0000 2018,0.734,0.0,0.266,27,@BBC
27,-0.7845,Mon Oct 01 07:32:01 +0000 2018,0.566,0.434,0.0,28,@BBC
28,-0.872,Mon Oct 01 07:03:05 +0000 2018,0.602,0.398,0.0,29,@BBC
29,0.4753,Sun Sep 30 20:21:03 +0000 2018,0.843,0.0,0.157,30,@BBC
30,0.6239,Sun Sep 30 19:39:53 +0000 2018,0.687,0.0,0.313,31,@BBC
31,0.0,Sun Sep 30 19:03:02 +0000 2018,1.0,0.0,0.0,32,@BBC
32,0.0,Sun Sep 30 17:16:03 +0000 2018,1.0,0.0,0.0,33,@BBC
33,0.5106,Sun Sep 30 16:22:42 +0000 2018,0.769,0.063,0.167,34,@BBC
34,0.4574,Sun Sep 30 16:22:25 +0000 2018,0.875,0.0,0.125,35,@BBC
35,0.0,Sun Sep 30 16:01:09 +0000 2018,0.773,0.113,0.113,36,@BBC
36,0.0,Sun Sep 30 15:03:03 +0000 2018,1.0,0.0,0.0,37,@BBC
37,-0.296,Sun Sep 30 14:02:04 +0000 2018,0.901,0.099,0.0,38,@BBC
38,0.0,Sun Sep 30 13:06:04 +0000 2018,1.0,0.0,0.0,39,@BBC
39,0.0,Sun Sep 30 12:44:04 +0000 2018,1.0,0.0,0.0,40,@BBC
40,0.0,Sun Sep 30 12:31:04 +0000 2018,1.0,0.0,0.0,41,@BBC
41,0.1531,Sun Sep 30 11:02:01 +0000 2018,0.873,0.0,0.127,42,@BBC
42,-0.7783,Sun Sep 30 10:00:00 +0000 2018,0.726,0.274,0.0,43,@BBC
43,0.0,Sun Sep 30 09:04:02 +0000 2018,1.0,0.0,0.0,44,@BBC
44,-0.5994,Sun Sep 30 08:30:16 +0000 2018,0.698,0.302,0.0,45,@BBC
45,0.0,Sun Sep 30 07:31:05 +0000 2018,0.752,0.124,0.124,46,@BBC
46,0.5859,Sun Sep 30 07:04:02 +0000 2018,0.703,0.0,0.297,47,@BBC
